left	right	parent	child
2524.294216	3148.107525	135	100
2524.294216	3148.107525	135	121
810.871244	885.413484	136	106
487.339553	506.295136	136	118
506.295136	810.871244	136	120
487.339553	885.413484	136	121
3148.107525	3261.339897	137	100
3285.667942	3287.496778	137	100
3148.107525	3261.339897	137	121
3285.667942	3287.496778	137	121
437.469361	487.339553	138	118
463.882188	487.339553	138	121
444.471921	463.882188	138	123
437.469361	444.471921	138	125
4745.225782	4915.749498	139	115
4745.225782	4915.749498	139	119
2427.987803	2436.969095	140	100
2440.947584	2524.294216	140	100
3261.339897	3285.667942	140	100
3449.235062	3788.467354	140	100
2101.073032	2427.987803	140	106
2101.073032	2436.969095	140	121
2440.947584	2524.294216	140	121
3261.339897	3285.667942	140	121
3449.235062	3788.467354	140	121
4569.831689	4582.107689	141	81
4582.107689	4719.918237	141	110
4719.918237	4745.225782	141	115
4719.918237	4745.225782	141	119
4569.831689	4719.918237	141	122
4915.749498	4927.934031	142	115
4928.909352	5000.000000	142	115
4915.749498	4927.934031	142	119
4928.909352	5000.000000	142	119
0.000000	65.504835	143	116
65.504835	170.922953	143	118
111.106889	170.922953	143	124
65.504835	111.106889	143	126
0.000000	65.504835	143	128
